,Name,Score,Description
0,가스타운 증기 시계,4.4,-
1,Canada place,-,-
2,스탠리 공원,4.8,"밴쿠버에서 가장 큰 도시 공원으로 해변, 산책로, 아름다운 방파제가 있는 가족 친화적인 관광 명소입니다."
3,퀸 엘리자베스 공원,4.6,"잘 정돈된 정원, 온실, 조각상, 스포츠용 코트를 갖춘 언덕 위의 랜드마크입니다."
4,밴쿠버 수족관,4.5,유아 동반 가능한 인기 명소로 보존에 주안점을 둔 현지 및 이국적 수중생물을 볼 수 있습니다.
5,Canada Place,4.5,"배처럼 보이도록 지은 이 상징적인 복합 단지에 컨벤션 센터, 호텔, 페리 터미널이 들어서 있습니다."
6,캐필라노 현수교,4.5,1889년 숲 위에 지어진 137m 길이의 다리로 숲의 경관을 내려다 볼 수 있습니다.
7,Vancouver Lookout,4.5,-
8,Science World,4.5,디오데식 돔 건물 내부에서 유아부터 청소년까지 체험식 과학 전시와 영상을 즐길 수 있습니다.
9,잉글리시 베이 비치,4.7,-
10,Vancouver Seawall,4.7,-
11,카필라노 리버 해처리,4.6,-
12,Lions Gate Bridge,4.5,-
13,Olympic Cauldron @ Jack Poole Plaza,4.5,-
14,그라우스 마운틴,4.6,"1,200m 높이의 산으로 스키, 하이킹과 같은 액티비티뿐 아니라 밴쿠버 전경을 즐길 수 있습니다."
15,크릭사이드 공원,4.5,-
16,밴쿠버 해양 박물관,4.3,-
17,Bill Reid Gallery of Northwest Coast Art,4.5,-
18,센트럴 공원,4.5,-
19,스탠리 파크 네이쳐 하우스 온 로스트 라군,4.7,-
20,크라이스트 처치 대성당,4.6,-
21,라이트하우스 파크 | 웨스트밴쿠버,4.7,-
22,래리 버그 플라이트 패스 공원,4.4,-
23,홀슈베이 파크 | 웨스트밴쿠버,4.5,-
24,클리블랜드 댐,4.7,-
25,Time Escape Vancouver,4.4,-
26,개리 포인트 공원,4.5,-
27,버너비 센트럴 레일웨이,4.7,-
28,시 투 스카이 곤돌라,4.7,"하우 사운드 위로 올라가는 인상적인 곤돌라로, 카페, 등산로, 숙박 시설, 현수교가 있습니다."
29,Whytecliff Park | West Vancouver,4.7,-
30,컨페더레이션 파크 워터 공원,4.6,-
31,쿼리 록,4.6,-
32,Tourism Vancouver Visitor Centre,4.4,-
33,버너비 마운틴 공원,4.7,-
34,그라우스 그린드,4.7,-
35,인터나티오널 부디스트 서사이어티,4.6,-
36,알락센 내셔널 야생동물보호지역,4.7,-
37,미노루 공원,4.5,-
38,체마이누스 벽화마을,4.3,-
39,테라 노바 어드밴츄어 플레이그라운드,4.6,-
40,코퀴틀럼 크런치,4.5,-
41,카필라노 리버 리저널 공원,4.7,-
42,Toonie Tours,5.0,-
43,더 버차트 가든스,4.7,22헥타르가 넘는 규모를 자랑하는 유명한 식물원으로 간이 식당과 계절별로 운영되는 엔터테인먼트 공간이 있습니다.
44,Discover Canada Tours,4.5,-
45,브리타니아 쉽야즈 내셔널 히스토릭 사이트,4.5,-
46,올드 밀 사이트 공원,4.6,-
47,샤논 폴스,4.7,브리티시컬럼비아주에서 세 번째로 높은 355m 폭포로 하이킹 코스에서 전경을 감상할 수 있습니다.
48,Petroglyphs,3.0,-
49,West Trek Tours,4.5,-
50,번스 보그 델타 자연보호지역,4.5,-
51,웨스트밴쿠버 센티니얼 시워크,4.8,-
52,메이플리지 공원,4.5,-
53,사우스 암 마쉬스 야생동물보호지역,4.7,-
54,Key West Travel & Tours Ltd,4.7,-
55,올드 오차드 공원,4.4,-
56,브록턴 포인트,-,-
57,밴쿠버 카나디언스 베이스볼 클럽,4.5,-
58,타운 센터 공원,4.6,-
59,Mexico Tourism Board,-,-
